date,cash_type,card,money,coffee_name
03/2024,card,ANON-0000-0000-0001,38.7,Latte
03/2024,card,ANON-0000-0000-0002,38.7,Hot Chocolate
03/2024,card,ANON-0000-0000-0002,38.7,Hot Chocolate
03/2024,card,ANON-0000-0000-0003,28.9,Americano
03/2024,card,ANON-0000-0000-0004,38.7,Latte
03/2024,card,ANON-0000-0000-0005,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0006,38.7,Hot Chocolate
03/2024,card,ANON-0000-0000-0007,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0008,38.7,Cocoa
03/2024,card,ANON-0000-0000-0008,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0009,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0010,28.9,Americano
03/2024,cash,,40,Latte
03/2024,card,ANON-0000-0000-0011,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0012,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0013,28.9,Americano
03/2024,card,ANON-0000-0000-0014,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0004,28.9,Americano
03/2024,cash,,40,Latte
03/2024,card,ANON-0000-0000-0015,38.7,Latte
03/2024,card,ANON-0000-0000-0016,28.9,Cortado
03/2024,card,ANON-0000-0000-0012,28.9,Americano
03/2024,card,ANON-0000-0000-0017,38.7,Hot Chocolate
03/2024,card,ANON-0000-0000-0018,38.7,Cocoa
03/2024,card,ANON-0000-0000-0019,28.9,Cortado
03/2024,card,ANON-0000-0000-0020,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0020,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0020,38.7,Hot Chocolate
03/2024,card,ANON-0000-0000-0001,38.7,Latte
03/2024,card,ANON-0000-0000-0021,38.7,Latte
03/2024,card,ANON-0000-0000-0012,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0022,24,Espresso
03/2024,card,ANON-0000-0000-0001,38.7,Latte
03/2024,card,ANON-0000-0000-0023,38.7,Latte
03/2024,card,ANON-0000-0000-0024,38.7,Latte
03/2024,card,ANON-0000-0000-0025,38.7,Hot Chocolate
03/2024,card,ANON-0000-0000-0026,38.7,Cocoa
03/2024,card,ANON-0000-0000-0027,38.7,Hot Chocolate
03/2024,card,ANON-0000-0000-0009,38.7,Hot Chocolate
03/2024,card,ANON-0000-0000-0028,28.9,Cortado
03/2024,card,ANON-0000-0000-0028,38.7,Hot Chocolate
03/2024,cash,,35,Americano with Milk
03/2024,card,ANON-0000-0000-0012,28.9,Americano
03/2024,card,ANON-0000-0000-0012,28.9,Cortado
03/2024,card,ANON-0000-0000-0029,38.7,Cappuccino
03/2024,card,ANON-0000-0000-0029,38.7,Cappuccino
03/2024,cash,,40,Latte
03/2024,card,ANON-0000-0000-0030,38.7,Hot Chocolate
03/2024,card,ANON-0000-0000-0031,38.7,Latte
03/2024,cash,,40,Latte
03/2024,card,ANON-0000-0000-0032,28.9,Americano
03/2024,card,ANON-0000-0000-0033,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0012,28.9,Cortado
03/2024,card,ANON-0000-0000-0034,38.7,Cappuccino
03/2024,card,ANON-0000-0000-0035,28.9,Americano
03/2024,card,ANON-0000-0000-0012,28.9,Americano
03/2024,card,ANON-0000-0000-0033,28.9,Americano
03/2024,card,ANON-0000-0000-0012,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0036,38.7,Latte
03/2024,card,ANON-0000-0000-0037,38.7,Latte
03/2024,cash,,40,Hot Chocolate
03/2024,card,ANON-0000-0000-0038,24,Espresso
03/2024,card,ANON-0000-0000-0039,28.9,Americano
03/2024,card,ANON-0000-0000-0012,38.7,Cappuccino
03/2024,card,ANON-0000-0000-0040,28.9,Americano
03/2024,card,ANON-0000-0000-0040,28.9,Americano
03/2024,card,ANON-0000-0000-0041,38.7,Latte
03/2024,card,ANON-0000-0000-0042,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0043,28.9,Cortado
03/2024,card,ANON-0000-0000-0043,38.7,Cappuccino
03/2024,card,ANON-0000-0000-0009,33.8,Americano with Milk
03/2024,card,ANON-0000-0000-0044,38.7,Hot Chocolate
03/2024,card,ANON-0000-0000-0009,38.7,Cappuccino
03/2024,card,ANON-0000-0000-0009,38.7,Hot Chocolate
03/2024,cash,,30,Americano
03/2024,cash,,35,Americano with Milk
03/2024,cash,,40,Latte
